question,answer
তমা নিজের জন্য একটি নতুন বেল কেনার সিদ্ধান্ত নেয়। এটির দাম তার পুরানো ৳২৫০ বেলের চেয়ে ৩০% বেশি। এটার দাম কত ছিল?,"এটির দাম ২৫০*.৩=৳<<২৫০*.৩=৭৫>>তার পুরানো বেলের চেয়ে ৭৫ বেশি
তাই এর দাম ২৫০+৭৫=৳<<২৫০+৭৫=৩২৫>>৩২৫
#### ৩২৫"
"মেরির ওজনের তুলনায় মিলির ওজন এক-চতুর্থাংশ গুণ বেশি। মেরির ওজন জারিফের ওজনের চেয়ে ২০ পাউন্ড কম। মেরির ওজন ১৬০ পাউন্ড হলে, তিনটির মিলিত ওজন কত?","মেরির ওজন ১৬০ পাউন্ড হলে, জারিফের ওজন ১৬০ পাউন্ড + ২০ পাউন্ড = <<১৬০+২০=১৮০>>১৮০ পাউন্ড।
যদি মিলিএর ওজন মেরির ওজনের থেকে এক-চতুর্থাংশ কম হয়, তাহলে তার ওজন ১/৪ * ১৬০ পাউন্ড = <<১/৪*১৬০=৪০>>৪০ পাউন্ড বেশি।
মিলিএর মোট ওজন হল ১৬০ পাউন্ড + ৪০ পাউন্ড = <<১৬০+৪০=২০০>>২০০ পাউন্ড।
তিনটির মোট ওজন হল ২০০ পাউন্ড + ১৮০ পাউন্ড + ১৬০ পাউন্ড = <<২০০+১৮০+১৬০=৫৪০>>৫৪০ পাউন্ড।
#### ৫৪০"
"একটি কাচের বয়ামে ১০০টি জেলিবিন রয়েছে। মিসেস দোলার কিন্ডারগার্টেন ক্লাসে সাধারণত ২৪টি বাচ্চা থাকে, কিন্তু ২টি বাচ্চা অসুস্থ হয়ে ডেকেছিল এবং সেদিন বাড়িতেই ছিল। স্কুলে পড়া বাকি শিশুরা প্রত্যেকে ৩টি করে জেলিবিন খায়। বয়ামে এখনও কত জেলিবিন বাকি আছে?","বাড়িতে থাকা অসুস্থ শিশুদের সাথে, ক্লাসে এইরকম অনেক কিন্ডারগার্টেন ছাত্র রয়েছে: ২৪ - ২ = <<২৪-২=২২>>২২ বাচ্চা।
এই অনেক জেলিবিন খাওয়া হয়: ২২ x ৩ = <<২২*৩=৬৬>>৬৬ জেলিবিন।
এই অনেক জেলিবিন এখনও জারে বাকি আছে: ১০০ - ৬৬ = <<১০০-৬৬=৩৪>>৩৪ জেলিবিন।
#### ৩৪"
"অপু একটি ফ্ল্যাট-স্ক্রিন টিভি পায় যা ৪৮ ইঞ্চি বাই ১০০ ইঞ্চি পরিমাপ করে৷ তার ভাই বারি একটি টিভি পায় যা ৭০ ইঞ্চি বাই ৬০ ইঞ্চি। যদি টিভিগুলির ওজন প্রতি বর্গ ইঞ্চি স্ক্রীন স্পেসে ৪ আউন্স হয়, তাহলে ভারী টিভির ওজন পাউন্ডে কত হবে? (প্রতি পাউন্ডে ১৬ আউন্স আছে)।","প্রথমে অপুর টিভির স্ক্রীন এরিয়া খুঁজুন: ৪৮ ইঞ্চি * ১০০ ইঞ্চি = <<৪৮*১০০=৪৮০০>>৪৮০০ বর্গ ইঞ্চি
তারপরে বারির টিভির স্ক্রীন এরিয়া খুঁজুন: ৭০ ইঞ্চি * ৬০ ইঞ্চি = <<৭০*৬০=৪২০০>>৪২০০ বর্গ ইঞ্চি
তারপরে আকারের পার্থক্য খুঁজে পেতে বড় টিভির আকার থেকে ছোট টিভির আকার বিয়োগ করুন: ৪৮০০ বর্গ ইঞ্চি - ৪২০০ বর্গ ইঞ্চি = <<৪৮০০-৪২০০=৬০০>>৬০০ বর্গ ইঞ্চি
তারপর ওজন পার্থক্য খুঁজে বের করতে প্রতি বর্গ ইঞ্চি ওজন দ্বারা আকারের পার্থক্যকে গুণ করুন: ৬০০ বর্গ ইঞ্চি * ৪ আউন্স/বর্গ ইঞ্চি = <<৬০০*৪=২৪০০>>২৪০০ আউন্স
তারপর পাউন্ডে ওজনের পার্থক্য খুঁজে পেতে আউন্সে ওজনের পার্থক্যকে পাউন্ড প্রতি আউন্স সংখ্যা দিয়ে ভাগ করুন: ২৪০০ আউন্স/১৬ আউন্স/পাউন্ড= <<২৪০০/১৬=১৫০>>১৫০ পাউন্ড
#### ১৫০"
"সাফা ছুটির দিনে নিজেকে ব্যস্ত রাখার জন্য প্রাণীদের সম্পর্কে ৮টি বই, মহাকাশ সম্পর্কে ৬টি বই এবং ট্রেন সম্পর্কে ৩টি বই কিনেছিলেন। প্রতিটি বইয়ের দাম ৳৬। সাফা বইয়ের জন্য কত খরচ করেছিল?","সাফা ৮টি বই + ৬টি বই + ৩টি বই = <<৮+৬+৩=১৭>>মোট ১৭টি বই কেনে।
সব বই কিনতে চাইলে তাকে ১৭ বই × ৳৬/book = ৳<<১৭*৬=১০২>>১০২ খরচ করতে হবে।
#### ১০২"
"হ্যাপিকে তার ডাক্তারের দ্বারা প্রস্তাবিত মাত্রায় জল খাওয়ার জন্য যে পরিমাণ পানি পান করে তার থেকে ৪০% বেশি কাপ পান করতে হবে। যদি তিনি বর্তমানে প্রতি সপ্তাহে ১৫ কাপ জল পান করেন, তাহলে প্রতি সপ্তাহে কাপের প্রস্তাবিত সংখ্যা কত?","হ্যাপিকে ৪০/১০০ * ১৫ = <<৪০/১০০*১৫=৬>> তার ডাক্তারের দ্বারা প্রস্তাবিত জল গ্রহণের মাত্রায় পৌঁছানোর জন্য সে বর্তমানে যে পরিমাণে নেয় তার থেকে ৬ কাপ বেশি জল খেতে হবে৷
মোট, তার প্রতি সপ্তাহে ৬+১৫ = <<৬+১৫=২১>>২১ কাপ জল পান করার কথা।
#### ২১"
"সিয়ামের তার বক্তৃতার রূপরেখা তৈরিতে ৩০ মিনিট, রূপরেখার চেয়ে ২৮ মিনিট বেশি লেখা এবং লেখার অনুশীলনের অর্ধেক সময় ব্যয় করেন। মোট কত সময় তিনি তার বক্তৃতায় ব্যয় করেন?","প্রথমে সিয়ামের লেখার মোট সময় বের করুন: ৩০ মিনিট + ২৮ মিনিট = <<৩০+২৮=৫৮>>৫৮ মিনিট
তারপর সেই পরিমাণ সময়কে ২ দিয়ে ভাগ করুন যাতে তিনি অনুশীলনে কতটা সময় ব্যয় করেন: ৫৮ মিনিট / ২ = <<৫৮/২=২৯>>২৯ মিনিট
তারপর তার মোট সময় বের করার জন্য রূপরেখা, লেখা এবং অনুশীলন করার সময় যোগ করুন: ২৯ মিনিট + ৫৮ মিনিট + ৩০ মিনিট = <<২৯+৫৮+৩০=১১৭>>১১৭ মিনিট
#### ১১৭"
"পিঁপড়ার একটি ঝাঁক চিনির একটি স্তূপ আবিষ্কার করেছিল যা একটি ফেলে দেওয়া ব্যাগ থেকে ছড়িয়ে পড়ে। তারা এটি ফসল কাটা শুরু করে এবং এটিকে তাদের ঘরে নিয়ে যায়। প্রতি ঘন্টায়, পিঁপড়া ৪ আউন্স চিনি সরিয়ে দেয়। চিনির ব্যাগটি ফেলে দেওয়ার আগে ২৪ আউন্স রাখা হয়েছিল। তিন ঘণ্টা পর বাকি চিনি কাটতে পিঁপড়ার আর কত ঘণ্টা লাগবে?","৩ ঘন্টা পরে, পিঁপড়া ৪ * ৩ = <<৪*৩=১২>>১২ আউন্স চিনি সরিয়ে ফেলেছে।
২৪ - ১২ = <<২৪-১২=১২>>১২ আউন্স চিনি বাকি আছে।
এইভাবে, অবশিষ্ট চিনি সংগ্রহ করতে পিঁপড়ার ১২/৪ = <<১২/৪=৩>>আরও ৩ ঘন্টা প্রয়োজন।
#### ৩"
"হাসান বাড়ির পণ্যের দোকানে ৩টি পাত্র এবং ৪টি ডেকচি ক্রয় করে৷ প্রতিটি পাত্রের দাম ২০ টাক । হাসানের জিনিসগুলির মোট মূল্য ৳১০০। প্রতিটি ডেকচির দাম একই হলে, ২টি ডেকচির দাম কত?","পাত্রের দাম ৩ * ৳২০ = ৳<<৩*২০=৬০>>৬০
৪টি ডেকচির দাম হল ৳১০০ - ৳৬০ = ৳৪০৷
যেহেতু প্রতিটি ডেকচির দাম একই, তাই ১ ডেকচির দাম ৳৪০/৪ = ৳<<৪০/৪=১০>>১০
২টি ডেকচির দাম হল ৳১০ + ৳১০ = ৳<<১০+১০=২০>>২০
#### ২০"
রাইয়ান কোভিডের ভ্যাকসিন নেওয়ার সিদ্ধান্ত নেন। প্রথম ডোজটির জন্য তাকে ২০ মিনিট অপেক্ষা করতে হবে। দ্বিতীয় ডোজ অর্ধেক হিসাবে একটি অপেক্ষা সময় আছে. মোট কতক্ষণ অপেক্ষার সময় ছিল?,"দ্বিতীয় ডোজটির অপেক্ষার সময় ছিল ২০/২=<<২০/২=১০>>১০ মিনিট
সুতরাং মোট অপেক্ষার সময় হল ২০+১০=<<২০+১০=৩০>>৩০ মিনিট
#### ৩০"
"সাফা তার নেটফ্লিক্স অ্যাকাউন্ট থেকে সিরিজ প্রতি যথাক্রমে ১২ এবং ১৪ সিজন সহ দুটি মুভি সিরিজ ডাউনলোড করেছেন। যাইহোক, সপ্তাহে, তার কম্পিউটার একটি যান্ত্রিক ব্যর্থতা পেয়েছে, এবং উভয় সিরিজের জন্য প্রতিটি সিজন থেকে দুটি পর্ব হারিয়েছে। সাফা ডাউনলোড করা মুভি সিরিজের প্রতিটি সিজনে ১৬টি পর্ব থাকলে, কম্পিউটারের যান্ত্রিক ব্যর্থতার পরে কতটি পর্ব অবশিষ্ট থাকে?","১২টি সিজন সহ প্রথম মুভি সিরিজে, যান্ত্রিক ব্যর্থতার পরে, সাফা হারিয়ে যাওয়া পর্বের সংখ্যা হল ২*১২ = <<২*১২=২৪>>২৪
মূলত, ১২টি সিজন সহ মুভি সিরিজের ১২*১৬ = <<১২*১৬=১৯২>>১৯২ পর্ব ছিল।
যান্ত্রিক ব্যর্থতার পর, কোরির প্রথম মুভি সিরিজে ১৯২-২৪ = <<১৯২-২৪=১৬৮>>১৬৮ পর্ব বাকি ছিল।
একইভাবে, ১৪ সিজন মুভি সিরিজেও ১৪*২ = <<১৪*২=২৮>>২৮ কম্পিউটারের যান্ত্রিক ব্যর্থতার পরে হারিয়ে গেছে।
মূলত, ১৪টি সিজন সহ মুভি সিরিজে ১৪*১৬ = <<১৪*১৬=২২৪>>২২৪ পর্ব রয়েছে।
কম্পিউটারের যান্ত্রিক ব্যর্থতার কারণে ১৪ সিজন মুভি সিরিজের পর্বের সংখ্যা ২২৪-২৮ = <<২২৪-২৮=১৯৬>>১৯৬ এ কমে গেছে
হারের পর, সাফার ডাউনলোড করা দুটি মুভি সিরিজ থেকে ১৯৬+১৬৮ = <<১৯৬+১৬৮=৩৬৪>>৩৬৪টি পর্ব বাকি ছিল।
#### ৩৬৪"
"ছুটিতে থাকার সময় রাফি একটি হোটেল বুক করেছিলেন। হোটেলে থাকার খরচ প্রতি রাতে প্রতি ঘন্টায় ৳১.৫০ এবং প্রতিদিন সকালে প্রতি ঘন্টায় ৳২। যদি রাফি-এর ৳৮০ থাকে এবং তিনি গত রাতে ৬ ঘন্টা এবং আজ সকালে ৪ ঘন্টা হোটেলে থাকেন, তাহলে হোটেলে থাকার জন্য তার কত টাকা বাকি ছিল?","গত রাতে হোটেলে থাকার জন্য রাফি ৳১.৫০ x ৬ = ৳<<১.৫*৬=৯>>৯ খরচ করেছে৷
তিনি আজ সকালে হোটেলে থাকার জন্য ৳২ x ৪ = ৳<<২*৪=৮>>৮ খরচ করেছেন
সুতরাং, হোটেলে তার ব্যয় করা মোট অর্থ হল ৳৯ + ৳৮ = ৳<<৯+৮=১৭>>১৭৷
অতএব, হোটেলে থাকার পরও তার কাছে ৳৮০ - ৳১৭ = ৳<<৮০-১৭=৬৩>>৬৩ বাকি আছে।
#### ৬৩"
সাফা  তার পরিবারের সাথে দেখা করার জন্য একটি গাড়ি ভাড়া করে। গাড়ি ভাড়া করতে ৳১৫০ খরচ হয়েছে। এটি পূরণ করার জন্য তাকে ৮ গ্যালন গ্যাস কিনতে হয়েছিল এবং গ্যাস প্রতি গ্যালন ৳৩.৫০। চূড়ান্ত খরচ প্রতি মাইল ৳.৫০. তিনি যদি ৩২০ মাইল চালান তাহলে কত খরচ হয়েছে?,"গ্যাসের দাম ৮*৩.৫=৳<<৮*৩.৫=২৮>>২৮
মাইলেজ খরচ ৩২০*.৫=৳<<৩২০*.৫=১৬০>>১৬০
তাই তিনি মোট ১৫০+২৮+১৬০=৳<<১৫০+২৮+১৬০=৩৩৮>>৩৩৮ টাকা দিয়েছেন
#### ৩৩৮"
"রফিক একজন পশুচিকিত্সক। আজ তিনি শুধুমাত্র দাঁত পরিষ্কার করতে যাচ্ছেন। কুকুরের ৪২টি দাঁত, বিড়ালের ৩০টি এবং শূকরের ২৮টি দাঁত থাকে। যদি তাকে ৫টি কুকুর, ১০টি বিড়াল এবং ৭টি শূকরের চিকিৎসা করতে হয়, তাহলে আজ রফিক মোট কতটি দাঁত পরিষ্কার করবে?","প্রথমে প্রতিটি প্রাণীর জন্য আলাদাভাবে সংখ্যা বের করা যাক, কুকুর প্রতি ৪২টি দাঁত * ৫ কুকুর = <<৪২*৫=২১০>>কুকুরের ২১০টি দাঁত।
তাহলে বিড়ালের মোট ৩০টি দাঁত হবে প্রতি বিড়াল * ১০টি বিড়াল = <<৩০*১০=৩০০>>বিড়ালের জন্য মোট ৩০০টি দাঁত।
অবশেষে, শূকরের জন্য সংখ্যা হল প্রতি শূকরের ২৮টি দাঁত * ৭টি শূকর = <<২৮*৭=১৯৬>>শুকরের জন্য মোট ১৯৬টি দাঁত।
সুতরাং মোট ২১০ দাঁত + ৩০০ দাঁত + ১৯৬ দাঁত = <<২১০+৩০০+১৯৬=৭০৬>>মোট ৭০৬ দাঁত।
#### ৭০৬"
"হাসপাতালে ১১ জন ডাক্তার এবং ১৮ জন নার্স রয়েছে। যদি ৫ জন ডাক্তার এবং ২ জন নার্স পদত্যাগ করেন, তাহলে কতজন ডাক্তার ও নার্স অবশিষ্ট থাকে?","১১ জন ডাক্তার আছে - ৫ ডাক্তার = <<১১-৫=৬>>৬ ডাক্তার বাকি।
১৮ জন নার্স আছে - ২ নার্স = <<১৮-২=১৬>>১৬ জন নার্স বাকি আছে।
মোট ৬ ডাক্তার + ১৬ নার্স = <<৬+১৬=২২>>২২ ডাক্তার এবং নার্স বাকি আছে।
#### ২২"
"কার সেরা জাম্পিং ক্ষমতা আছে তা দেখার জন্য দুই ক্রীড়াবিদ প্রতিযোগিতা করার সিদ্ধান্ত নিয়েছে। তারা প্রত্যেকে লং জাম্প, ট্রিপল জাম্প এবং হাই জাম্প করতে যাচ্ছিল তা দেখতে কে সর্বোচ্চ গড় জাম্প করেছে। প্রথম অ্যাথলিট লং জাম্পে ২৬ ফুট, ট্রিপল জাম্পে ৩০ ফুট এবং হাই জাম্পে ৭ ফুট লাফ দিয়েছিলেন। দ্বিতীয় ক্রীড়াবিদ লং জাম্পে ২৪ ফুট, ট্রিপল জাম্পে ৩৪ ফুট এবং হাই জাম্পে ৮ ফুট লাফিয়েছিলেন। বিজয়ীর গড় লাফ কত ছিল?","প্রথম ক্রীড়াবিদ মোট ৬৩ ফুট লাফ দিয়েছিলেন কারণ ২৬ + ৩০ + ৭ = <<২৬+৩০+৭=৬৩>>৬৩
দ্বিতীয় ক্রীড়াবিদ মোট ৬৬ ফুট লাফ দিয়েছিলেন কারণ ২৪ + ৩৪ + ৮ = <<২৪+৩৪+৮=৬৬>>৬৬
প্রথম ক্রীড়াবিদ গড়ে ২১ ফুট লাফ দিয়েছিলেন কারণ ৬৩/৩ = <<৬৩/৩=২১>>২১
দ্বিতীয় ক্রীড়াবিদ গড়ে ২২ ফুট লাফিয়েছেন কারণ ৬৬/৩ = <<৬৬/৩=২২>>২২
বিজয়ীর গড় লাফ ছিল ২২ ফুট কারণ ২২ > ২১
#### ২২"
"৭ বছরে, কাইফের বয়স এখন মনির থেকে ৩ গুণ হবে। যদি মনি বর্তমানে ৫ বছর বয়সী হয়, তাহলে কাইফের বয়স এখন কত?","৭ বছরে, কাইফের বয়স ৫ * ৩ = <<৫*৩=১৫>>১৫ বছর হবে
কাইফের বয়স এখন হতে দিন।
৭ বছর পর, কাইফের ১৫ বছর বয়সী হবে, তাই ক + ৭ = ১৫
ক = ১৫ - ৭
ক = <<৮=৮>>৮ বছর বয়সী
#### ৮"
আগামী বছর মেলায় এবছরের তুলনায় দ্বিগুণ লোক আসবে এবং গত বছর মেলায় যাওয়া লোকের সংখ্যা পরের বছরের তুলনায় ২০০ কম। এ বছর মেলায় যাওয়া লোকের সংখ্যা ৬০০ হলে তিন বছরে মেলায় লোকের সংখ্যা হিসাব করুন।,"এ বছর মেলায় ৬০০ জন থাকলে পরের বছর মেলায় যাওয়ার সংখ্যা ২*৬০০ = <<২*৬০০=১২০০>>১২০০।
এ বছর মেলায় লোকের সংখ্যা এবং পরের বছর যারা যাচ্ছেন মোট ১২০০+৬০০ = <<১২০০+৬০০=১৮০০>>১৮০০
গত বছর সেই মেলায় যাওয়া লোকের সংখ্যা পরের বছরের তুলনায় ২০০ কম, মানে গত বছর মেলায় ১২০০-২০০ = ১০০০ লোক ছিল।
তিন বছরে মেলায় লোকসংখ্যা হবে ১৮০০ এবং পরের বছর + ১০০০ গত বছরের = <<১৮০০+১০০০=২৮০০>>২৮০০
#### ২৮০০"
" সমস্ত চেয়ার ২৫% ছাড় বিক্রয় হচ্ছে.। আপনি যদি ৫টির বেশি চেয়ার কেনেন, তাহলে আপনি ৫টির বেশি চেয়ারের সংখ্যার ছাড়কৃত মূল্য থেকে অতিরিক্ত ১/৩ ছাড় পাবেন৷ আপনি যদি ৮টি চেয়ার কিনে থাকেন যার দাম সাধারণত ৳২০ ছিল, তাহলে চেয়ারগুলির মোট দাম কত?","আপনি ২৫% ছাড় দিয়ে প্রতি চেয়ারে ৳৫ বাঁচান।
বিক্রয় চেয়ার প্রতিটির দাম ৳১৫ কারণ ২০ - ৫ = <<২০-৫=১৫>>১৫
অতিরিক্ত সঞ্চয় শুরু হওয়ার আগে আপনি প্রয়োজনীয় ৫টির উপরে ৩টি চেয়ার কিনেছেন কারণ ৮ - ৫ = <<৮-৫=৩>>৩
আপনি এই চেয়ারগুলিতে অতিরিক্ত ৳৫ বাঁচান কারণ ১৫ x (১/৩) = <<১৫*(১/৩)=৫>>৫
প্রথম পাঁচটি চেয়ারের দাম মোট ৳৭৫ কারণ ৫ x ১৫ = <<৫*১৫=৭৫>>৭৫
চূড়ান্ত তিনটি চেয়ারের দাম মোট ৳৩০ কারণ ৩ x ১০ = <<৩*১০=৩০>>৩০
মোট তাদের দাম ৳১০৫ কারণ ৭৫ + ৩০ = <<৭৫+৩০=১০৫>>১০৫
#### ১০৫"
"একটি ফোনের দামের জন্য আলোচনা করার পরে, লিমা প্রাথমিক মূল্যের ২০% এ একটি ফোন কিনেছিল। যদি ফোনের প্রাথমিক মূল্য ৳৬০০ হয়, তাহলে আলোচনা করার পরে সে কত টাকা দিয়েছে তা হিসাব করুন।","যদি প্রারম্ভিক মূল্য ৳৬০০ হয়, তবে মূল্য আলোচনা করার পরে, লিমা ২০/১০০*৳৬০০ = ৳<<২০/১০০*৬০০=১২০>>১২০ কম প্রদান করে।
তিনি যে দামে ফোনটি কিনেছেন তা হল ৳৬০০-৳১২০ = ৳<<৬০০-১২০=৪৮০>>৪৮০
#### ৪৮০"
সাফা প্রতিবার ৩ টি শার্ট বিক্রি করার সময় ৳২১ লাভ করে এবং যখন সে দুই জোড়া স্যান্ডেল বিক্রি করে তখন তার চারগুণ লাভ হয়। সে ৭ টি শার্ট এবং ৩ জোড়া স্যান্ডেল বিক্রি করলে কত লাভ হবে?,"সাফা দুই জোড়া স্যান্ডেলের জন্য ৳২১*৪ = ৳<<২১*৪=৮৪>>৮৪ লাভ করে।
সাফা ৳৮৪/২ জোড়া = ৳<<৮৪/২=৪২>>জুতা প্রতি জোড়া লাভ ৪২ করে।
সাফা ৳২১/৩ শার্ট = ৳<<২১/৩=৭>>প্রতি শার্টে ৭ লাভ করে।
সাতটি শার্টের জন্য, সাফা ৭ টি শার্ট তৈরি করবে * ৳৭ = ৳<<৭*৭=৪৯>>৪৯ লাভের।
তিন জোড়া স্যান্ডেলের জন্য, সাফা ৩ জোড়া * ৳৪২/পেয়ার = ৳<<৩*৪২=১২৬>>১২৬ লাভ করবে৷
সাফা মোট ৳৪৯ + ৳১২৬ = ৳<<৪৯+১২৬=১৭৫>>১৭৫ লাভ করবে।
#### ১৭৫"
"গত সপ্তাহে, আরমান ৫ দিন ধরে ৩৫ ঘন্টা কাজ করেছেন প্রতি ঘন্টা ১০ টাকায়। এই সপ্তাহে, তিনি ৪০ ঘন্টা কাজ করতে পারলে প্রতি ঘন্টায় ৳০.৫ বৃদ্ধি পাবেন। ধরুন তিনি এই সপ্তাহে ৪০ ঘন্টা কাজ করতে পারেন, আরমান দুই সপ্তাহ কাজ করার জন্য কত পাবেন?","গত সপ্তাহে, আরমান ৩৫ ঘন্টা x ৳১০/ঘন্টা = ৳<<৩৫*১০=৩৫০>>৩৫০ আয় করেছে।
এই সপ্তাহে, আরমান ৪০ ঘন্টা x ৳১০.৫০/ঘন্টা = ৳<<৪০*১০.৫=৪২০>>৪২০ উপার্জন করতে পারে।
সুতরাং, তিনি দুই সপ্তাহ কাজ করার জন্য ৳৩৫০ + ৳৪২০ = ৳<<৩৫০+৪২০=৭৭০>>৭৭০ পাবেন৷
#### ৭৭০"
জাবের ২.৫ ঘন্টা ধরে ৫০ মাইল বেগে তার গাড়ি চালায়। অন্তু ২ ঘন্টা ধরে ৬২ মাইল বেগে তার গাড়ি চালায়। জাবের অন্তুর চেয়ে আরও কত মাইল গাড়ি চালায়?,"জাবের ৫০ * ২.৫ = <<৫০*২.৫=১২৫>>১২৫ মাইল ভ্রমণ করেন।
অন্তু ৬২*২ = <<৬২*২=১২৪>>১২৪ মাইল ভ্রমণ করে।
জাবের১২৫ - ১২৪ = <<১২৫-১২৪=১>>অন্তুর  চেয়ে ১ মাইল বেশি গাড়ি চালায়।
#### ১"
"মাহির কিছু খেলা ছিল এবং সে সেগুলির মধ্যে ছয়টি নিলয়কে দিয়েছিল। এখন, মাহির নিলয়ের চেয়ে ৪ গুণ বেশি গেম রয়েছে। প্রথমে নিলয়ের ৭টি খেলা থাকলে, মাহির প্রথমে কতটি খেলা ছিল?","মাহির কাছ থেকে ছয়টি গেম পাওয়ার পর, নিলয়ের আছে ৬+৭=<<৬+৭=১৩>>১৩টি গেম।
এখন, মাহির আছে ১৩*৪=<<১৩*৪=৫২>>৫২টি গেম।
মাহির প্রথমে ৫২+৬=<<৫২+৬=৫৮>>৫৮টি খেলা ছিল।
#### ৫৮"
রাইয়ান একটি নতুন মাল্টিভিটামিন ব্র্যান্ড কেনার কথা ভাবছেন। প্রতিটি বড়িতে ৫০ মিলিগ্রাম ভিটামিন এ থাকে। ভিটামিন এ-এর প্রস্তাবিত দৈনিক পরিবেশন হল ২০০ মিলিগ্রাম। রাইয়ানকে সপ্তাহের জন্য প্রস্তাবিত পরিমাণে কতগুলি পিল খেতে হবে?,"যেহেতু দৈনিক লক্ষ্য হল ২০০মিলিগ্রাম এবং সপ্তাহে ৭ দিন আছে, এর মানে রাইয়ানকে ৭*২০০=<<২০০*৭=১৪০০>>১৪০০মিলিগ্রাম নিতে হবে সপ্তাহে।
যেহেতু প্রতি পিলে ৫০মিলিগ্রাম আছে, এর মানে রাইয়ানকে প্রতি সপ্তাহে ১৪০০/৫০= <<১৪০০/৫০=২৮>>২৮টি বড়ি নিতে হবে।
#### ২৮"
একটি পার্কে মোট সিংহের সংখ্যা একই পার্কে চিতাবাঘের দ্বিগুণ। হাতির সংখ্যা সিংহ ও চিতাবাঘের মিলিত সংখ্যার অর্ধেক। পার্কের তিনটি প্রাণীর মোট জনসংখ্যা গণনা করুন যদি সিংহের সংখ্যা ২০০ হয়।,"যদি পার্কে ২০০টি সিংহ থাকে, যা পার্কে চিতাবাঘের সংখ্যার দ্বিগুণ, তাহলে পার্কে ২০০/২ = <<২০০/২=১০০>>১০০টি চিতাবাঘ আছে।
পার্কে সিংহ ও চিতাবাঘের মোট জনসংখ্যা হল ২০০টি সিংহ + ১০০টি চিতাবাঘ = <<২০০+১০০=৩০০>>৩০০
পার্কে হাতির সংখ্যা সিংহ এবং চিতাবাঘের মোট জনসংখ্যার ১/২; এইভাবে, পার্কে ৩০০/২ = <<৩০০/২=১৫০>>১৫০টি হাতি আছে।
পার্কে মোট ১৫০+৩০০ = <<১৫০+৩০০=৪৫০>>৪৫০টি প্রাণী রয়েছে।
#### ৪৫০"
"প্রতিদিন, সামির  একটি বৃত্তাকার ট্র্যাকে তিন মাইল দৌড়ানোর মাধ্যমে কাজ করে যা এক মাইলের এক চতুর্থাংশ লম্বা। তার স্ত্রী রিমা তার স্বামীর মতো একই ট্র্যাকে চলে, কিন্তু সে তার স্বামীর দ্বিগুণ গতিতে দৌড়ায়। তাদের ওয়ার্কআউটের সময়, রিমা কতবার ট্র্যাকটি চক্কর দেয়?","যদি সামির  তার ওয়ার্কআউটের সময় ১/৪ মাইল লম্বা একটি ট্র্যাকে ৩ মাইল দৌড়ায়, তাহলে সে ট্র্যাকটি ৩/(১/৪)=১২ বার চক্কর দেয়৷
রিমা যদি সামিরের এর চেয়ে দ্বিগুণ দ্রুত দৌড়ায়, তাহলে একই সময়ে, সে ৩*২=<<৩*২=৬>>৬ মাইল দৌড়ায়।
যদি রিমা ১/৪ মাইল ট্র্যাকে ৬ মাইল দৌড়ায়, তাহলে সে ট্র্যাকটিকে ৬/(১/৪)=<<৬/(১/৪)=২৪>>২৪ বার চক্কর দেয়।
#### ২৪"
একটি চকোলেট কেক প্রতি কেক ৩টি ডিম প্রয়োজন। চিজকেক প্রতিটি চিজকেকের জন্য ৮ টি ডিম প্রয়োজন। ৫টি চকোলেট কেকের চেয়ে ৯টি চিজকেকের জন্য কত বেশি ডিম প্রয়োজন?,"চিজকেকে ডিম = ৮ * ৯ = <<৮*৯=৭২>>৭২
চকোলেট কেকের ডিম = ৫ * ৩ = <<৫*৩=১৫>>১৫
৭২ - ১৫ = <<৭২-১৫=৫৭>>৫৭
নয়টি চিজকেকের জন্য ৫টি চকলেট কেকের চেয়ে ৫৭টি বেশি ডিম প্রয়োজন।
#### ৫৭"
