ID,Problem,Answer
79,"$\sqrt[16]{100!} = a \sqrt{ b \sqrt{c \sqrt{d \sqrt{e}}}}$ যদি ধনাত্মক পূর্ণসংখ্যা $b$, $c$, $d$, $e$ এর কোন পূর্ণবর্গ উৎপাদক না থাকে, তাহলে $abc$ এর উৎপাদক সংখ্যা কত?",5376
80,একটি রম্বসের বাহুর দৈর্ঘ্য 5 মিটার। বাহুর দৈর্ঘ্য দ্বিগুণ করা হলে নতুন রম্বসের পরিসীমা কত হবে?,40
81,বাক্সে 100 টি কার্ড আছে। প্রতিটি কার্ডে যথাক্রমে 1 থেকে 100 পর্যন্ত পূর্ণসংখ্যাগুলোর মধ্যে ঠিক একটি করে ভিন্ন পূর্ণসংখ্যা লেখা আছে। বাক্সটি থেকে যেকোনো দুইটি কার্ড উঠানো হল এবং সংখ্যা দুইটি গুণ করে গুণফল একটি পূর্ণ ঘনসংখ্যা পাওয়া গেল। এরকম কতগুলো ভিন্ন গুণফল পাওয়া সম্ভব? (দুইটি কার্ড তোলার পর আবার বাক্সে রেখে দেওয়া হয়),14
82,"একটা 6 অংকের সংখ্যা \( \overline{ABCABC} \) কে তাহমিদ ম্যাজিক সংখ্যা বলে, যেখানে \( A \), \( B \), \( C \) তিনটা অংক। সবগুলো ম্যাজিক সংখ্যার যে সাধারণ উৎপাদকগুলো আছে তাদের মধ্যে সর্বোচ্চ উৎপাদকটি কত?",1001
83,"তোমার কাছে কিছু চকলেট আছে, যা তুমি কয়েকজন বন্ধুর মাঝে সমানভাবে ভাগ করে দিতে চাও। তুমি খেয়াল করলে, দুইজনের মাঝে ভাগ করলে 1 টা চকলেট অতিরিক্ত থাকে, চারজনের মাঝে ভাগ করলে 3 টা চকলেট অতিরিক্ত থাকে, ছয়জনের মাঝে ভাগ করলে 5 টা চকলেট অতিরিক্ত থাকে ও আটজনের মাঝে ভাগ করলে 7 টা চকলেট অতিরিক্ত থাকে। তোমার কাছে সর্বনিম্ন কয়টি চকলেট থাকা সম্ভব?",23
84,এমন সম্ভাব্য সকল ধনাত্মক পূর্ণসংখ্যা $x$ এর যোগফল নির্ণয় করো যেন $x^2 - 23x + 127$ একটি পূর্ণবর্গ সংখ্যা হয়।,46
85,"একটি রম্বসের বাহুর দৈর্ঘ্য 13 মিটার। বাহুর দৈর্ঘ্য দ্বিগুণ করা হলে, নতুন রম্বসের পরিসীমা নির্ণয় কর।",104
86,"যদি $p$, $q$,$r$ সংখ্যাগুলো 3 থেকে বড় যেকোনো তিনটি ভিন্ন মৌলিক সংখ্যা হয়, তাহলে সবচেয়ে বড় কোন ধনাত্মক পূর্ণসংখ্যা দ্বারা $(p - q)(q - r)(r - p)$ সর্বদাই নিঃশেষে বিভাজ্য হবে?",48
87,"একটি ত্রিভুজের বৃহত্তম কোণ 65 ডিগ্রি হলে, ত্রিভুজের ক্ষুদ্রতম কোণের সর্বনিম্ন সম্ভাব্য মান কত?",50
88,"একটি অন্ধকার ঘরের একটি ড্রয়ারে যথাক্রমে 90, 80, 70, 60 এবং 50 টি লাল, গোলাপি, সবুজ, কালো এবং নীল মোজা রয়েছে। জোড়া বলতে যদি একই রঙের দুটি মোজা বোঝানো হয়, তবে এখান থেকে সর্বনিম্ন কতটি মোজা তুলে নিলে নিশ্চিত হওয়া যাবে যে কমপক্ষে 20 জোড়া মোজা তোলা হয়েছে?",44
89,"1 থেকে 2024 পর্যন্ত সংখ্যাগুলোর মধ্যে এমন কয়টি পূর্ণসংখ্যা পাওয়া যাবে, যাদেরকে একই সাথে $4a + 19$ এবং $6b + 21$ আকারে লেখা যায়, যেখানে $a$, $b$ পূর্ণসংখ্যা?",169
90,"ABC ত্রিভুজের বাহু AB ও AC এর উপর যথাক্রমে P ও Q বিন্দু দুইটি এমনভাবে রয়েছে যেন AP = $\frac{3}{7}$ * AB এবং AQ = $\frac{4}{9}$ * AC হয়। BQ ও CP বাহুদ্বয় পরস্পরকে O বিন্দুতে ছেদ করে। AO এর বর্ধিতাংশ BC কে R বিন্দুতে ছেদ করে। $\frac{BR}{BC}$ কে $\frac{x}{y}$ আকারে লেখা যায় যেখানে $x$, $y$ পরস্পর সহমৌলিক সংখ্যা, $x + y$ এর মান নির্ণয় করো।",47
91,"$$ S_n = \sum_{k=1}^{50} \frac{(-1)^k k}{4k^2 - 1} $$
$S_n$ কে $ -\frac{a}{b} $ আকারে লেখা যায়, যেখানে $a$ ও $b$ পরস্পর সহমৌলিক। $a + b$ এর মান নির্ণয় করো।",126
92,"\(f(n) = 3f(n + 1) - 2f(n - 1)\), \(f(0)=0\) এবং \(f(1)=1\) হলে, 2f(2023) + 3f(2024) এর মান নির্ণয় কর।",3
93,"একটি ক্লাসরুমে কিছু শিক্ষার্থী আছে। প্রতিটা শিক্ষার্থীর কাছে সমান সংখ্যক একাধিক চকলেট আছে। ক্লাসরুমে মোট চকলেটের সংখ্যা 300 হতে 400 এর মাঝে। তোমাকে যদি মোট চকলেটের সংখ্যা বলে দেয়া হয়, তাহলে তুমি কতজন শিক্ষার্থী আছে এটা বের করতে পারবে এবং সবার কাছে কতটি করে চকলেট আছে এটাও নিশ্চিতভাবে বলতে পারবে। রুমে কতজন শিক্ষার্থী আছে?",19
94,"একটি বুলেট কংক্রিটের দেয়ালে আঘাত করে উপবৃত্তাকার ছিদ্র তৈরি করে। উপবৃত্তের সর্বোচ্চ দূরত্বের দুটি বিন্দুর দূরত্ব 26 মি.মি.। বুলেটের ব্যাস 10 মি.মি. হলে এবং দেয়ালের সাথে $\tan^{-1}\frac{a}{b}$ কোণে আঘাত করলে, $a + b$ এর মান নির্ণয় করো।",17
95,"কোনো চার বা তার কম অঙ্কের সংখ্যা কে $1000a + 100b + 10c + d$ আকারে প্রকাশ করা যায়, যেখানে $a$, $b$, $c$, $d$ সবাই এক অঙ্কের অঋণাত্মক পূর্ণসংখ্যা। এমন একটি চার বা তার কম অঙ্কের সংখ্যা $x$ কে তুমি $f(x) = a^4 + b^3 + c^2 + d$ নিয়মে অন্য একটি সংখ্যায় পরিণত করলে। এখন $f(2024) = f(x)$ হলে, $x$ এর বৃহত্তম ও ক্ষুদ্রতম মানের মধ্যবর্তী পার্থক্য নির্ণয় করো।",2152
96,"100 এর চেয়ে ছোট ভিন্ন ভিন্ন মৌলিক সংখ্যার এমন কতগুলো জোড়া আছে যাদের বর্গের বিয়োগফল একটি বর্গসংখ্যা? (এখানে, $(a,b)$ এবং $(b,a)$ দুটি একই জোড়া হিসেবে বিবেচনা কর।)",3
97,"অনুপমের কাছে একটি জাদুর বাক্স আছে, যেখানে কোনো সংখ্যা রাখলেই পরেরদিন তা সংখ্যাটির বর্গের সমান হয়ে যায়। অনুপম সেই বাক্সটি নিয়ে খেলতে ভালোবাসে। সে প্রথমদিন সেই বাক্সে 23 রাখে এবং পরেরদিন যে সংখ্যা পায়, তার শেষ দুই অংক বাদে বাকি অংকগুলো ফেলে দেয় এবং অবশিষ্ট সংখ্যাটিকে আবার বাক্সে রাখে। এভাবে প্রতিদিন এই কাজ করলে, 2026 তম দিনে সে কোন সংখ্যাটি বাক্সে রাখবে?",21
98,"শান স্বর্গকে 1 থেকে 2024 পর্যন্ত পূর্ণসংখ্যাগুলো লিখতে বলায় স্বর্গ ভুল করে \( 123456789101112131415 \dots \dots \dots \dots \dots \dots 2024 \) এভাবে লিখলো। এভাবে পরপর লেখায় শান রেগে গিয়ে স্বর্গকে বললো ""স্বর্গ, এবার যে বিশাল বড় সংখ্যা পেয়েছিস তার সবগুলো অংক যোগ কর। যোগফলে যে সংখ্যা পাবি সেটার সবগুলো অংক আবার যোগ করবি। এভাবে যোগফল এক অংক বিশিষ্ট না পাওয়া পর্যন্ত চালিয়ে যাবি।"" স্বর্গ সত্যি সত্যি তাই করলো। স্বর্গ শেষ যোগফলটি কত পেয়েছিল?",9
99,"যেকোনো চারটি মৌলিক সংখ্যার মধ্যে, তিনটি মৌলিক সংখ্যার গুণফল থেকে 2 বিয়োগ করলে অপর মৌলিক সংখ্যাটি পাওয়া যায়, যা 100 এর চেয়ে বড়। প্রথম তিনটি মৌলিক সংখ্যার সর্বনিম্ন যোগফল কত হতে পারে?",15
100,5 থেকে 15 পর্যন্ত সকল জোড় সংখ্যার যোগফল নির্ণয় করো।,50
101,"$x$, $y$, $z$ এমন তিনটি বিজোড় সংখ্যা যেন $x!×y!×z!$ = $10!$ হয়। $x+y+z$ এর মান নির্ণয় করো।",15
102,"2, 5, 8, 11, \dots এই ধারাটির 100 তম পদের মান নির্ণয় করো।",299
103,"24-hour format (HH:MM:SS) এর একটি ডিজিটাল ঘড়ির 6 টি ঘরে 6 টি পরস্পর অনির্ভরশীল আউটপুট দেয়, যেখানে 1, 2, 3, 4, 5 ও 6-তম ঘরে যথাক্রমে \( a^2 - 2a + 3 \), \( 2b^2 - 3b + 4 \), \( 2c^2 - c + 4 \), \( 2d - d^2 + 1 \), \( 1 + 4e - 2e^2 \) এবং \( 2f^2 - 4f + 5 \) ফাংশন অনুযায়ী আউটপুট আসে। \( 1 \leq a,b,c,d,e,f \leq 12 \) এবং \( a,b,c,d,e,f \) প্রত্যেকে পূর্ণসংখ্যা হলে, এই ঘড়িতে কতগুলো ভিন্ন যথাযথ সময় পাওয়া যাবে?",8
104,"3 অঙ্কবিশিষ্ট একটি সংখ্যার সামনে '5' অঙ্কটি লেখা হলো। নতুন 4 অঙ্কবিশিষ্ট সংখ্যাটির দ্বিগুণ, প্রথম 3 অঙ্কবিশিষ্ট সংখ্যাটির 82 গুণ হলে, 3 অঙ্কবিশিষ্ট সংখ্যাটি নির্ণয় করো।",125
105,"ইমনের কাছে 512 একক ব্যাসার্ধের একটি বিশাল নিরেট সিলিন্ডার আছে। সে সিলিন্ডারকে বাইরে থেকে এমনভাবে কাটতে চায় যেন শেষে একটিমাত্র নিরেট সিলিন্ডার থাকে, এবং কাটার পর যে কয়েকটি পাইপ পাওয়া যায় তাদের বহিঃব্যাসার্ধ ক্রমান্বয়ে অর্ধেক হতে থাকে। যদি পাইপ এবং সিলিন্ডারের ব্যাসার্ধ পূর্ণসংখ্যা হয়, তাহলে সর্বোচ্চ কয়টি পাইপ পাওয়া সম্ভব?",9
106,"সাদিয়ার কী-বোর্ডে 0 থেকে 9 পর্যন্ত সংখ্যার বোতাম আছে, কিন্তু তার কী-বোর্ডের ""3"" এর বোতামটি নষ্ট। তার বন্ধুর বাড়ির ওয়াইফাই পাসওয়ার্ডে ডিজিট বাদে অন্য কোনো ক্যারেক্টার নেই। পাসওয়ার্ডটি চার অংকবিশিষ্ট। এমন কতোগুলো পাসওয়ার্ড থাকতে পারে, যা তার কী-বোর্ডে লেখা যাবে না?",3439
107,"শুধুমাত্র 16 সংখ্যাটি ব্যবহার করে 61 বানাতে হবে। সহায়ক হিসেবে যোগ, বিয়োগ, গুণ, ভাগ এবং বর্গমূল ব্যবহার করা যাবে। এটা করতে সর্বনিম্ন কয়টি 16 প্রয়োজন হবে? (ঋণাত্মক সংখ্যা উপেক্ষা করো)",5
108,"পায়েল ও প্রত্যয় একটি সংখ্যার গেম খেলছে। প্রতি চালে পায়েল নিজের ইচ্ছামত একটি ধনাত্মক পূর্ণসংখ্যা নেয়, এবং সেটির বর্গের শেষ অঙ্কটি একটি গোপন খাতায় লিখে রাখে। সর্বনিম্ন কত চাল পর প্রত্যয় নিশ্চিতভাবে বলতে পারবে পায়েলের গোপন খাতায় অন্তত একটি অঙ্ক একাধিকবার লেখা হয়েছে?",7
109,"ফাইজার কাছে কিছু নোটপেড আছে। সে তার নোটপেড গুলো তার 4 জন বন্ধু, 12 জন বন্ধু, 15 জন বন্ধু এবং 24 জন বন্ধুর মাঝে সমান ভাবে ভাগ করে দিতে পারে। তাহলে ফাইজার কাছে সর্বনিম্ন কতটি নোট পেড আছে?",120
110,তাহমিদ দুপুর 12 টায় একটি আপেল খেয়ে ফেলে। এরপর সে 10 মিনিট বিরতি নিয়ে পরবর্তী আপেলটি খায়। তারপর প্রতিটি আপেল খাওয়ার পূর্বে সে আগের বারের দ্বিগুণ সময় বিরতি নেয়। রাত 12 টার মধ্যে সে কয়টি আপেল খেতে পারবে?,7
111,"মোমার কাছে কিছু চকোলেট আছে। সে তার চকোলেটগুলো তার 6 জন বন্ধু, 8 জন বন্ধু, 12 জন বন্ধু এবং 18 জন বন্ধুর মাঝে সমান ভাবে ভাগ করে দিতে পারে। তাহলে মোমার কাছে সর্বনিম্ন কতটি চকোলেট আছে?",72
112,$n$ একটি ধনাত্মক পূর্ণসংখ্যা। $n$ ও 80 এর ল.সা.গু 1200 এবং $n$ ও 80 এর গ.সা.গু 20। $n$ এর মান নির্ণয় করো,300
113,"$S = \{2, 6, 12, 24, 25, 30\}$ এর 3 টি করে উপাদান নিয়ে গঠিত সকল সাবসেটের তালিকা করা হলো। তালিকার প্রতিটি সাবসেটের সর্বোচ্চ সংখ্যাগুলোর যোগফল কত হবে?",534
114,"ABCDEF সুষম ষড়ভুজে P, Q, R হলো যথাক্রমে AB, AF, BC এর মধ্যবিন্দু। ষড়ভুজটির ক্ষেত্রফল 2024 বর্গএকক হলে EQPRD পঞ্চভুজটির ক্ষেত্রফল কত?",1518
115,পায়েল একটি কাজ 6 বার করলে 3 বার ভুল করে। আবার শাকুর কাজটি 7 বার করলে 3 বার ভুল করে। অন্যদিকে তিহাম কাজটি 8 বার করলে 1 বার ভুল করে। কোনো একটি কাজ তারা একত্রে করলে কাজটি সঠিক হওয়ার সম্ভবনা কত শতাংশ?,25
116,"প্রথম আলো অফিসে 1000 জন কর্মচারী কর্মরত অবস্থায় আছে। এদের প্রত্যেকের ID নাম্বার 1 থেকে 1000 পর্যন্ত। যাদের ID নাম্বারের ঠিক 3 টি ডিজিট বিজোড়, তারা ঢাকায় কর্মরত। যাদের ID নাম্বারের ঠিক 2 টি ডিজিট বিজোড়, তারা রাজশাহীতে কর্মরত। আর বাকি সবাই অন্যান্য স্থানে কর্মরত। অন্যান্য স্থানে কর্মরতদের সংখ্যা কত?",500
117,"$x > 2$ হলে, $x$ এর সর্বনিম্ন কোন পূর্ণসাংখ্যিক মানের জন্য $x^2 - 5x + 3$ রাশিকে 11 দিয়ে ভাগ করলে ভাগশেষ 8 হবে?",13
118,"ত্রিভুজ \(\Delta\)ABC ক্ষেত্রফল 6 বর্গএকক। ত্রিভুজ \(\Delta\)DEF এর ভূমির দৈর্ঘ্য \(\Delta\)ABC এর ভূমির দৈর্ঘের 6 গুন এবং \(\Delta\)DEF এর উচ্চতা \(\Delta\)ABC এর উচ্চতার সমান, \(\Delta\)DEF এর ক্ষেত্রফল কত?",36
119,"নিচের অনুক্রমটির শূন্যস্থানে কত বসবে? 
B, 3, E, 2, G, 9, P, __, V, 4, Z",6
120,"X এবং Y দুইটি মৌলিক সংখ্যা। এদের বর্গের পার্থক্য 40 হলে, সংখ্যা দুটির যোগফল কত?",10
121,"1 থেকে 200 এর মধ্যে যতগুলো পূর্ণসংখ্যা k আছে, যাদের সব উৎপাদকের গুণফলকে ""$k^{\frac{9}{2}}$"" আকারে লেখা যায়, তাদের যোগফল কত?",332
122,"মাজেদুর বর্ণমালা এবং সংখ্যা ব্যবহার করে মজার কিছু করতে চাচ্ছিলো। তাই সে সমস্ত ইংরেজি বর্ণমালার জন্য 1 থেকে 26 পর্যন্ত সংখ্যা নির্ধারণ করেছে। এভাবে A = 1, B = 2.... Z = 26 তারপর সে তার নামকে (MAJEDUR) সংখ্যায় রূপান্তর করে। রূপান্তরিত সংখ্যার অংকগুলো ব্যবহার করে সে 5 অংকের একটি প্যালিনড্রোম সংখ্যা তৈরি করে। প্যালিনড্রোম সংখ্যাটির সর্বনিম্ন মান কত? [বিঃদ্রঃ- একটি অংক যতবার পাবে সর্বোচ্চ ততবার ই ব্যবহার করতে পারবে। যেমন 6 অংকটি 3 বার পেলে সেটি সর্বোচ্চ 3 বার ই ব্যবহার করতে পারবে। প্রতিটি অংক ব্যবহার করার প্রয়োজন নেই]",11011
123,"\[
\frac{(4 \times 7 + 2)(6 \times 9 + 2)(8 \times 11 + 2) \dots (100 \times 103 + 2)}
{(5 \times 8 + 2)(7 \times 10 + 2)(9 \times 12 + 2) \dots (99 \times 102 + 2)} 
\]
এর মান নির্ণয় করো।",510
124,"একটি বিল্ডিংয়ে 1st, 2nd, 3rd, \dots, 7th পর্যন্ত 7 টি তলা আছে। প্রতি তলায় রুম সংখ্যা \( 2^n \) টি, যেখানে, \( n = \) তলার সংখ্যা। প্রতিটি রুম সাজাতে \( (2^n - 1) \) সংখ্যক ফুল লাগে। সবগুলো রুম সাজাতে মোট কয়টি ফুল লাগবে?",21590
125,"তাহমিদ, নিলয়, মাজেদ তিন ভাই নদীতে মাছ ধরতে অনেক পছন্দ করে। কিন্তু নদী অনেক দূরে থাকায় তাদের মধ্য থেকে যেকোনো একজন, শুধু মঙ্গলবার মাছ ধরতে যায়। তারা তাহমিদ, মাজেদ, নিলয়, তারপর আবার তাহমিদ এই ক্রমে মাছ ধরে। 2024 সালের 2 জানুয়ারি মঙ্গলবার এবং ঐ দিন নিলয় মাছ ধরতে গেলে ঐ বছর তাহমিদ কতবার মাছ ধরতে যাবে?",18
126,"চারটি এলাচ দিয়ে এক ডিশ কাচ্চি বিরিয়ানি রান্না করে সেটা ইমন, মোমা ও সাদিয়ার মাঝে সমানভাবে ভাগ করে দেয়া হলো। মোমার প্লেটে তিনটি এলাচ পড়ার সম্ভাবনা $\frac{p}{q}$ হলে , $p+q$ এর সর্বনিম্ন মান নির্ণয় করো।",17
127,"$f(x + 1, y) - f(x, y) = x$, $f(x, y) - f(x, y + 1) = y$, $f(0, 0) = 0$। $f(a, b) = 101$ হলে, $a + b$ এর সর্বনিম্ন মান বের করো।",102
128,"শিথিল জুস খুব পছন্দ করে। সে তিনটি গ্লাসে আলাদাভাবে আমের জুস, কমলার জুস এবং লিচুর জুস নিয়ে বসেছে। সে 600 মিলি আমের জুস, 360 মিলি কমলার জুস, 200 মিলি লিচুর জুস নিয়ে একটি মিশ্রণ তৈরি করলো। এখানে মিশ্রণে আমের জুস, কমলার জুস ও লিচুর জুসের অনুপাত 15:9:6 করতে চাইলে কত মিলি অতিরিক্ত লিচুর জুস যোগ করতে হবে?",40
129,"একটি বৃত্তাকার পথে, চার বন্ধু রাইসা, সাদমান, ফারিহা এবং সামিরা একই স্থান থেকে একই সাথে দৌড়াতে শুরু করে। তাদের প্রত্যেকের দৌড়ানোর গতি ভিন্ন ভিন্ন এবং তারা ছুটতে থাকে যতক্ষণ না তারা সবাই শুরুর বিন্দুতে প্রথমবার মিলিত হয়। বৃত্তাকার পথে একবার ঘুরে আসতে রাইসার 60 সেকেন্ড, সাদমানের 90 সেকেন্ড, ফারিহার 120 সেকেন্ড এবং সামিরার 150 সেকেন্ড সময় লাগে। তাহলে সর্বনিম্ন কত সেকেন্ড পরে তারা সবাই আবার শুরুর স্থানে মিলিত হবে?",1800
130,"একটি সমান্তর ধারার প্রথম 3 টি পদের যোগফল 6, যেখানে ধারাটির প্রতিটি পদই ধনাত্মক পূর্ণসংখ্যা। ধারাটির প্রথম 7 টি পদের যোগফল কত?",28
131,একটি গাছ প্রতি বছর 2 টি করে বীজ দেয়। প্রত্যেক নতুন বীজকে গাছ হয়ে প্রথমবার বীজ দিতে 2 বছর সময় লাগে। তাহলে একটি গাছ প্রথমবার বীজ দেয়ার 10 বছর পর মোট কতগুলো বীজদানকারী গাছ থাকবে?,683
132,মাজেদের স্কুলে বই আদানপ্রদান অনুষ্ঠানে 8 জন শিক্ষার্থীর প্রত্যেকে একটি করে বই নিয়ে এসেছে। প্রত্যেক শিক্ষার্থী তার নিয়ে আসা বইটি অন্য একজন শিক্ষার্থীকে দিয়ে দিবে এবং কোনো শিক্ষার্থী একটির বেশি বই পাবে না। মোট কতভাবে এই বই আদানপ্রদান সম্পন্ন করা যাবে?,14833
133,$2 + 4 + 6 + 8 + \dots + 80$ এর মান নির্ণয় কর।,1640
134,"এ বছর ম্যাথ অলিম্পিয়াডে যতজন অংশগ্রহণ করেছে, তারা সবাই ঠিক ততটি করে চকলেট পাবে। পরীক্ষা শুরুর ঠিক কিছুক্ষণ আগে আরো 20 জন অংশগ্রহণকারী যুক্ত হল। তবে ম্যাথ অলিম্পিয়াড কমিটির কাছে অতিরিক্ত আর 100 টি চকলেট ছিল। মাথাপিছু চকলেটের পরিমাণ কমলেও চকলেটগুলো সবার মাঝে সমানভাবে ভাগ করে দেওয়া সম্ভব হয়েছিল। এ বছর সর্বোচ্চ কতজন অংশগ্রহণ করেছিল?",500
135,"একটি বর্গের কর্ণের দুইটি প্রান্তবিন্দুর স্থানাঙ্ক $(11,11)$ ও $(2024,2024)$। $x = y + 11$ সরলরেখার উপর কতগুলো বিন্দু আছে যাদের স্থানাঙ্ক পূর্ণসংখ্যা এবং বিন্দুগুলো বর্গের ভিতরে অথবা উপরে অবস্থিত।",2003
136,"1 থেকে 200 পর্যন্ত যেকোনো দুটি মৌলিক সংখ্যা $P$ ও $Q$ দিয়ে $\frac{P}{Q}$ আকারে কতটি সংখ্যা বানানো $Q$ সম্ভব, যাদের মান 1 এর চেয়ে ছোট হয়?",1035
137,"$F(x + 1) = \frac{1}{F(x) - 1}$; $F(1) = 0$; \[ \prod_{i = 2}^{19} F(i) = \frac{a}{b} \]
যদি $a$ এবং $b$ পরস্পর সহমৌলিক হয়, তাহলে $a + b$ এর মান নির্ণয় করো।",4182
138,দুইটি ধনাত্মক পূর্ণসংখ্যার গুণফল 216 এবং তাদের ল.সা.গু ঐ সংখ্যা দুটির কোনোটির সমান নয়। সংখ্যা দুটির যোগফলের সর্বোচ্চ মান নির্ণয় কর।,58
139,$\binom{100}{50}$ এর দুই অংক বিশিষ্ট সবচেয়ে বড় মৌলিক উৎপাদক নির্ণয় কর।,97
140,"ফুয়াদ তার ক্লাসে গুণ, ভাগ করতে শিখেছে। ফুয়াদ তাই মনে মনে চিন্তা করলো 2016 কে তিনটি পূর্ণসংখ্যার গুণ হিসেবে প্রকাশ করবে। সে এরকম কিছু সংখ্যা বের করলো। এক পর্যায়ে সে দেখলো তার ধরা দ্বিতীয় সংখ্যাটি প্রথম সংখ্যার 5 গুণ থেকে 1 বেশি, এবং তৃতীয় সংখ্যাটি দ্বিতীয় সংখ্যার দ্বিগুণ থেকে 10 বেশি। ফুয়াদের অনুমান করা তিনটি সংখ্যাই ধনাত্মক পূর্ণসংখ্যা হলে, ওই তিনটি সংখ্যার যোগফল কত হতে পারে?",61
141,"তাহমিদ একটা আজব দেশে গিয়েছে, যেখানে সবাই 3 অংকের পাসওয়ার্ড নম্বর ব্যবহার করা হয়। পাসওয়ার্ড ব্যবহারকারী মেয়ে হলে প্রথম অংক হবে 2 এবং ছেলে হলে প্রথম অংকটি হবে 1। বাকি ডিজিট গুলিতে 0, 1, 2 ব্যবহার করা যাবে না। তাহলে সেই দেশে মোট কতগুলি পাসওয়ার্ড ব্যবহার করা সম্ভব?",98
142,"সাদা রঙের একটি 6 × 6 গ্রিড থেকে দৈবভাবে দুইটি ঘর কালো রঙ করা হলো। দুইটি পাশাপাশি ঘর 1 একক দূরত্বে আছে। দুইটি ঘরের মধ্যবর্তী দূরত্ব বলতে বর্গের ভরকেন্দ্র দুইটির মধ্যবর্তী দূরত্বকে বোঝায়। কালো ঘরদুইটি পরস্পর থেকে 3 একক বা তার বেশি দূরত্বে থাকার সম্ভাবনা \(\frac{p}{q}\), যেখানে $p$ ও $q$ পরস্পর সহমৌলিক সংখ্যা। $p$ + $q$ এর মান নির্ণয় করো।",11
143,"পঞ্চভূজ হলো পাঁচটি বাহু এবং পাঁচটি কোণ দ্বারা সীমাবদ্ধ একটি জ্যামিতিক আকৃতি। একটি পঞ্চভুজের পাঁচটি কোণের মান ক্রমিক পূর্ণসংখ্যা হলে, পঞ্চভুজটির সর্বোচ্চ কোণের মান কত?",110
144,"একটি ত্রিভুজের বাহুগুলোর দৈর্ঘ্য যথাক্রমে 7, 10 এবং 11 একক। অপর একটি সমদ্বিবাহু ত্রিভুজের অসমান বাহুর দৈর্ঘ্য সমান বাহুদ্বয়ের দৈর্ঘ্যের দ্বিগুণ। যদি দুইটি ত্রিভুজের পরিসীমা একই হয় তবে সমদ্বিবাহু ত্রিভুজের সমান বাহুর দৈর্ঘ্য কত?",7
145,"$f(x+y)=f(x)+f(y)$ এবং $f(1) = 3$ হলে, $f(30)$ এর মান নির্ণয় করো।",90
146,নিলয় একটি ম্যাগাজিন পড়ছে যেখানে পৃষ্ঠাসংখ্যায় মোট 2046 টি ডিজিট ব্যবহার করা হয়েছে। তাহলে ম্যাগাজিনের পৃষ্ঠাসংখ্যা নির্ণয় কর। (প্রথম পৃষ্ঠার সংখ্যা 1 থেকে শুরু করা হয়েছে),718
147,দুই অংকের সবচেয়ে বড় কোন ধনাত্মক পূর্ণসংখ্যার অংকগুলোর গুণফল 24?,83
148,"মনে করো, একটি ডিজিটাল ঘড়িতে ঘণ্টা, মিনিট আর সেকেন্ডের সময় দেখায়। এটি চব্বিশ ঘণ্টায় সেট করা আছে, অর্থাৎ দুপুর 2:30 এ ঐ ঘড়িতে 14:30:00 দেখা যায়। ঐ ঘড়িতে সারাদিনে মোট কতোগুলো ভিন্ন ভিন্ন সময় দেখা যায়?",86400
149,$20 \times 14$ সংখ্যাটির কিছু সংখ্যক জোড় উৎপাদক এবং কিছু সংখ্যক বিজোড় উৎপাদক রয়েছে। সংখ্যাটির বিজোড় উৎপাদক থেকে কতটি জোড় উৎপাদক বেশি আছে?,8
150,"একটা ঘড়ি অদ্ভুতভাবে নষ্ট হয়ে গেল। রাত নয়টা বাজার পর প্রতিবার ঘন্টার কাঁটা একবার সম্পূর্ণ ঘুরে আসলে ঘড়ির গতি অর্ধেক হয়ে যায়। ঠিক যেই মুহূর্তে ঘড়িটার অবস্থা এমন হবে, যে এক মিনিট অতিবাহিত হতে 2024 মিনিটের বেশি সময় লাগবে, তখন ঘড়িতে কয়টা বাজবে?",8
151,"মঙ্গলবার, 22 জুলাই, 2008 সালে নিলয়ের জন্মদিন ছিল। পরের নিকটতম কোন বছরে তার জন্মদিন শনিবারে হবে?",2017
152,"অন্তপুর একটি বিশাল এলাকা। সেখানে পানির ট্যাঙ্কের মাধ্যমে পানি সরবরাহ করা হয়। এলাকার মাঝে একটি বড় ট্যাঙ্ক আছে, বাকিগুলো ছোট। বড় ট্যাঙ্ক থেকে শুরু করে ছোট ট্যাঙ্ক, সেগুলো থেকে অন্য ট্যাঙ্ক - এভাবে ক্রমান্বয়ে পানি সরবরাহ হয়। সিস্টেমটি এমনভাবে সাজানো হয়েছে যেন একটি ট্যাঙ্কে (বড় ট্যাঙ্ক বাদে) শুধু অন্য একটি ট্যাঙ্ক থেকেই পানি আসে; আর একটি ট্যাঙ্ক হয় অন্য 7 টি ট্যাঙ্কে পানি সরবরাহ করে, নাহয় কাউকেই করেনা। এলাকায় মোট 2024 টি ট্যাঙ্ক থাকলে, এমন কয়টি ট্যাঙ্ক আছে যেগুলো পানি সরবরাহ করে না?",1735
153,তাহমিদের কাছে 295 টাকা আছে। সে 30 টাকা দিয়ে একটি জুস এবং 10 টাকা দিয়ে একটি বিস্কুটের প্যাকেট কিনে। এক প্যাকেট চিপসের দাম 15 টাকা হলে সে বাকি টাকা দিয়ে মোট কত প্যাকেট চিপস কিনতে পারবে?,17
154,"পায়েল একটি সমবাহু ত্রিভুজের তিনটি বাহুর উপরে তিনটি সুষম বহুভুজ আঁকতে চায়। যদি প্রতি দুটি বহুভুজের মধ্যে একটি করে সাধারণ বাহু থাকে, তবে অঙ্কিত প্রতিটি বহুভুজের বাহু সংখ্যা নির্ণয় কর।",12
